City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,La Ronge,CA,55.1001,-105.2842,44.82,42,75,16.11,broken clouds
79,Chuy,UY,-33.6971,-53.4616,74.7,59,4,10.42,clear sky
80,Carnarvon,AU,-24.8667,113.6333,68.07,83,96,6.91,overcast clouds
81,Bengkulu,ID,-3.8004,102.2655,74.53,89,100,3.71,overcast clouds
82,Camopi,GF,3.1655,-52.3158,74.73,98,100,3.51,overcast clouds
83,Klyuchi,RU,52.2667,79.1667,38.08,72,6,7.02,clear sky
84,Tuktoyaktuk,CA,69.4541,-133.0374,14.0,67,40,0.0,scattered clouds
85,Marsa Matruh,EG,31.3525,27.2453,62.8,67,75,12.66,broken clouds
86,Caravelas,BR,-17.7125,-39.2481,81.48,69,10,7.74,clear sky
87,Trogir,HR,43.5125,16.2517,60.8,67,20,11.5,few clouds
88,Sao Felix Do Xingu,BR,-6.6447,-51.995,84.81,68,52,4.16,broken clouds
89,Wasilla,US,61.5814,-149.4394,32.02,61,100,5.75,overcast clouds
90,College,US,64.8569,-147.8028,14.2,70,100,13.8,light snow
91,Torbay,CA,47.6666,-52.7314,38.75,85,100,13.8,overcast clouds
92,Fevik,NO,58.3794,8.6766,38.97,52,7,9.4,clear sky
93,Bluff,NZ,-46.6,168.3333,55.8,67,54,18.7,broken clouds
94,Novovarshavka,RU,54.1721,74.6946,33.4,75,0,8.79,clear sky
95,Peru,US,40.7537,-86.0689,45.61,80,75,14.97,broken clouds
96,Lasa,IT,46.6166,10.7002,56.28,98,90,4.52,overcast clouds
97,Bay Roberts,CA,47.5999,-53.2648,38.52,81,64,8.99,broken clouds
98,Santiago Del Estero,AR,-27.7951,-64.2615,80.53,53,0,4.56,clear sky
99,Batagay,RU,67.6333,134.6333,-2.07,100,100,0.81,overcast clouds
100,Cidreira,BR,-30.1811,-50.2056,70.02,83,92,12.35,overcast clouds
101,Semporna,MY,4.4818,118.6112,78.96,85,100,3.0,overcast clouds
102,Yellowknife,CA,62.456,-114.3525,36.12,80,75,11.5,broken clouds
103,Shasta Lake,US,40.6804,-122.3708,77.95,30,100,3.49,overcast clouds
104,Masvingo,ZW,-20.0637,30.8277,64.87,83,98,10.36,overcast clouds
105,Sioux Lookout,CA,50.1001,-91.917,35.67,32,0,13.8,clear sky
106,Ponta Do Sol,PT,32.6667,-17.1,65.01,74,64,0.94,broken clouds
107,Padang,ID,-0.9492,100.3543,77.85,81,64,3.09,moderate rain
108,Longyearbyen,SJ,78.2186,15.6401,12.04,67,0,14.97,clear sky
109,Airai,TL,-8.9266,125.4092,58.03,74,100,2.37,overcast clouds
110,Merrill,US,45.1805,-89.6835,32.68,77,100,13.8,overcast clouds
111,Asyut,EG,27.181,31.1837,87.98,21,0,15.79,clear sky
112,Brownsville,US,25.9018,-97.4975,81.09,28,0,5.75,clear sky
113,Hami,CN,42.8,93.45,67.5,16,100,6.22,overcast clouds
114,Udachnyy,RU,66.4167,112.4,-6.2,100,98,2.55,overcast clouds
115,Beira,MZ,-19.8436,34.8389,80.69,83,75,7.0,broken clouds
116,Gamba,GA,-2.65,10.0,77.68,92,48,5.46,scattered clouds
117,Ryabovo,RU,59.4,31.1333,39.9,96,100,9.24,overcast clouds
118,Thompson,CA,55.7435,-97.8558,42.96,31,40,5.75,scattered clouds
119,La Rioja,ES,42.25,-2.5,49.78,79,100,7.87,overcast clouds
120,Kongolo,CD,-5.3833,27.0,72.27,94,11,1.32,light rain
121,Manadhoo,MV,5.7667,73.3833,84.6,65,57,4.72,broken clouds
122,Omsukchan,RU,62.5333,155.8,7.29,97,100,3.38,overcast clouds
123,Anadyr,RU,64.75,177.4833,-5.3,71,0,2.24,clear sky
124,Broome,US,42.2506,-75.833,57.02,43,100,5.99,overcast clouds
125,Sonkovo,RU,57.7782,37.1571,41.34,90,100,15.01,overcast clouds
126,Qaanaaq,GL,77.484,-69.3632,-0.4,75,0,5.55,clear sky
127,Hay River,CA,60.8156,-115.7999,37.36,80,100,8.05,light rain
128,Jamestown,US,42.097,-79.2353,45.01,75,100,13.0,overcast clouds
129,Khatanga,RU,71.9667,102.5,-4.38,99,73,5.08,broken clouds
130,Bambous Virieux,MU,-20.3428,57.7575,77.22,94,75,12.66,light rain
131,Uglovskoye,RU,51.3557,80.1942,42.39,60,100,8.63,overcast clouds
132,Cherskiy,RU,68.75,161.3,-28.34,98,5,2.35,clear sky
133,Ribeira Grande,PT,38.5167,-28.7,64.8,82,75,33.38,broken clouds
134,Pevek,RU,69.7008,170.3133,-13.85,98,100,3.42,overcast clouds
135,Hakkari,TR,37.5833,44.1667,40.5,99,100,3.18,overcast clouds
136,Georgetown,MY,5.4112,100.3354,80.53,88,20,3.44,thunderstorm
137,Dikson,RU,73.5069,80.5464,-0.24,100,97,7.96,overcast clouds
138,Faranah,GN,10.0404,-10.7434,92.08,31,56,4.47,broken clouds
139,Xichang,CN,27.8964,102.2634,57.78,91,99,1.97,overcast clouds
140,Chokurdakh,RU,70.6333,147.9167,-17.57,97,92,9.48,overcast clouds
141,Hithadhoo,MV,-0.6,73.0833,83.1,69,48,6.73,scattered clouds
142,North Battleford,CA,52.7834,-108.2847,55.4,40,0,19.57,clear sky
143,Adrar,MR,20.5022,-10.0711,83.46,9,0,10.98,clear sky
144,Port Lincoln,AU,-34.7333,135.8667,65.57,82,0,11.54,clear sky
145,Lavras,BR,-21.2453,-44.9997,76.82,75,100,6.15,overcast clouds
146,Paamiut,GL,61.994,-49.6678,26.31,75,100,17.43,overcast clouds
